,tweet,hate_speech,offensive_language,neither,class
5597,<user> it's trash ik just wanted to fuck with dorsey,0,1,0,1
5598,<user>'s pussy. <url>,0,1,0,1
5599,<user> lets fuck hawt bitches at foam and glow?<sym> ,0,1,0,1
5600,"<user> <user> woohoo! new black ""kill cracker babies"" panthers to the rescue! #racist #trash #thugs #ferguson #fergusonriot",1,0,1,0
5601,"<user> ""nigger""",1,1,0,0
5602,"<user> i am hurt im.not in it wtf, fuck danielle that bitch",0,1,0,1
5603,<user> <user> bitch get punched tf out lol,0,1,0,1
5604,<user> <user> bitch u got me fuckked up,0,1,0,1
5605,<user> bitch take dat shit down imediatly,0,1,0,1
5606,<user> bitch u forcin it talkin about my family and shit watch out,0,1,0,1
5607,<user> bitch u got me fuckked up go suck lil action whamm like u always do on thursdays and fridays didn't think ik did u,0,1,0,1
5608,<user> correction bitch yo illiterate ass wanna eat my pussy and i got some center street boys dat u can suck up nun major,0,1,0,1
5609,<user> naw fuck u bitch and go suck up cartier,0,1,0,1
5610,<user> ok bitch damn i will i'm not even tierd my phone just dying,0,1,0,1
5611,<user> haha that hoe go hard rt,0,1,0,1
5612,<user> the bitch in the purple shorts and aqua beats,0,1,0,1
5613,<user> happy birthday bad bitch,0,1,0,1
5614,<user> i knowww righttt. i don't even know how to use this shit. how i update my status on this hoe?,0,1,0,1
5615,"<user> im 60 n i hate elissa, a fake ass cunt",1,1,0,1
5616,<user> oh shut your mouth i was talkin about the morning you fag,1,1,0,0
5617,<user> no that's fucking retarded are you drinking tonight or not?,0,1,0,1
5618,<user> i just whooped your ass why you turnin pussy,0,1,0,1
5619,<user> haha you were that bitch on our team <sym> ,0,1,0,1
5620,<user> <user> <user> fuck a raptor. have fun with that when the tranny fails on you after 70k miles,0,1,0,1
5621,<user> comes from a guy whose sole qualification to be cm is being the lucky sperm :-),0,1,1,2
5622,<user> unless bitch is a word for awesome they are wrong,0,1,0,1
5623,<user> i'm actually with my boys right now. your dorky ass is with your mom &amp; dad watching streit make you his bitch,1,1,0,1
5624,<user> houston was top five in ahl attendance while aeros were here. the transplanted snow bird would love a team.,0,0,1,2
5625,<user> man fuck this bitch <url>,0,1,0,1
5626,<user> right <sym> <sym>  okay bitch,0,1,0,1
5627,<user> is little bitch an emotion? cuz i'm feeling it..,0,1,0,1
5628,<user> - we do not want you here either! suck my pigs arse you muzzie biotch! get the phuck out and go back to your hellhole life!,1,1,0,1
5629,"<user> i was like ""this bitch better chill-"" oh hey maria<sym> <sym> <sym> ",0,1,0,1
5630,<user> shit i wish it was socially acceptable for me to beat some of these bitches asses. lmao,0,1,0,1
5631,"<user> <user> <user> <user> <user> in alaska!!
nothing going on, nothing to do, nothing to bitch about, few laws",0,1,0,1
5632,<user> obispo ho. we'll do it big,0,1,1,2
5633,<user> you already know mane since 6th grade i've been killin hoes,0,1,0,1
5634,<user> never happen. too much republican redneck oil money. sad butt true. #corruptamerica,1,1,0,1
5635,"<user> <user> <user> nope, it's a term used to mock teabagger scum like all three of you. better luck next time, pal.",0,1,1,1
5636,<user> <user> in with the go to air out with the bad air and where's my next brownie,0,0,1,2
5637,<user> bitch probably deserved it lol,0,1,0,1
5638,<user> <user> <user> <user> <user> fellow anarchists quit being vaginas :p like jr high up in this bitch,0,1,0,1
5639,<user> small man syndrome usually deep down they're huge pussies so they join the authority to compensate their weak ego,1,1,0,1
5640,<user> pussy,0,1,0,1
5641,<user> why are you laughing . that's you hoe <sym> ,0,1,0,1
5642,<user> check cashing on the corner of el cajon and calwood it's across the steer for pollo loco,0,0,1,2
5643,"<user> naw dude i wish, they're white trash",1,1,0,0
5644,<user> wat a faggot,1,1,0,1
5645,<user> more than you run pussy,0,1,0,1
5646,"<user> thought to myself sheeba-sheeba, got my ass lookin' like a zebra!",0,1,1,1
5647,<user> ya damn right nigglet! :d,0,1,0,1
5648,<user> leave dyke,1,1,0,0
5649,<user> stfu youre a pussy sit your ass down with all that noise,0,1,0,1
5650,<user> death to attention hoes,1,1,0,1
5651,"<user> <user> <user> <user> ill give you a tip, beware of the ugly birds who hide behind massive lensed sunnies!",0,0,1,2
5652,<user> wow your like 3 years late bitch,0,1,0,1
5653,<user> pussy,0,1,0,1
5654,<user> yo fag rojas,1,1,0,1
5655,<user> <user> sitting here talking about what u would do or gonna do that's something my bitch does,0,1,0,1
5656,<user> bitch what?,0,1,0,1
5657,<user> idk ? i went to to the school like a week ago and the bitch gave me a paper and shit telling me my classes paid for and,0,1,0,1
5658,<user> thats wassup how u got bitches sending you booty pics tho lol,0,1,1,1
5659,<user> make yo bitch open her legs.,0,1,0,1
5660,<user> tweet but don't text back ok fag,1,1,0,1
5661,<user> how? all of the qbs we had before this season were trash. they brought in a veteran so they could have someone to play,0,1,1,2
5662,<user> literally retarded. you were dropped on your head.,1,1,0,1
5663,<user> you say waste a draft pick on manziel when we have mallet. that's why i'm telling you to delete your account. you're retarded,1,1,0,0
5664,<user> i was a fag back then,1,1,0,1
5665,"<user> probably, yeah. by most accounts, he has the personality to handle it though. and he can wear a yellow suit if he puts up points.",0,0,1,2
5666,"<user> hung with all dudes and wasn't fuckin no bitches, so. <user>",0,1,0,1
5667,<user> fuck all cops. and fuck you too tarah. bitch your elongated nose is shaped like a horses dick. <user>,1,1,0,1
5668,<user> cry about it. you still can't even talk to me even though i'm supposedly the shady bitch that won't confront you lol,0,1,0,1
5669,<user> faggot,1,1,0,0
5670,<user> i can give you some of my clothes so you can look like a cute dyke,1,1,0,0
5671,<user> chink eyed !,1,1,0,0
5672,"<user> trueee, but i can't wait til the day a bitch try me!!!!",0,1,0,1
5673,"<user> and because it sounds like there is no prenup, he's gonna cash in, not her. he apparently has ghetto credit. 'magine that?!",0,1,1,1
5674,<user> <user> christian keep laughing and me and him will fuck u up instead pussy bitch,1,1,0,1
5675,"<user> he was 17 not 16 &amp; he tried to beat up a much weaker ""creepy ass cracker"" that is why he is dead. if zimmerman was a woman...",1,1,0,1
5676,<user> <user> funny to read retard liberal tweets. but anand u didn't delete salwar tweet. anyway say hi to #digvijaysingh,1,1,0,1
5677,<user> i'm so sick of self serving politicians standing by while bo trashes america. #wearerepublicnotregime #impeachobama,0,0,1,2
5678,"<user> <user> yes, sorry grant, i'm a bitch so i'm going to ignore you like most libtards ignore the majority voice....",0,1,0,1
5679,<user> <user> i'm still gonna smack the fuck out them. they trying to act hard over twitter. haha pussy ass niggas,0,1,0,1
5680,<user> only reason i wouldn't give it up is i ahve a fucking catalog on this bitch. arcade games were fire.,0,1,0,1
5681,<user> <user> yall aint gon get a stitch of pussy....,0,1,0,1
5682,<user> oh yea a-lo aka mr bitches lmao,0,1,0,1
5683,<user> lol now all ya need is sum beacg bod abs pussy boy,0,1,0,1
5684,<user> get off my twitter fag,1,1,0,1
5685,<user> ugly white bitch,0,1,0,1
5686,"<user> <user> <user> 
i agree 100%. no naturalized citizenship, no anchor baby amnesty. all go to parents country of origin.",0,0,1,2
5687,<user> gotta keep fighting bro thea hoes just trying to bring me down. #thestrugle,0,1,0,1
5688,"<user> may i jump in u ball-less dick-wad? as a conservative, feminist, disabled vet bitch, i wish u luck with a capital f. <user>",1,1,0,0
5689,<user> <user> it's okay i'll get bitches on this dick anyway but thanks for the tip,0,1,0,1
5690,"<user> <user> <user> i don't give a flying fuck what you think about my tweets, worthless teabagger scum.",1,1,0,1
5691,<user> its mutual my lil yellow bone<sym> ,0,1,1,2
5692,<user> thats why youz a yellow bone <sym> <sym> ,0,0,1,2
5693,<user> cuz you know i was playing witchu i aint call yo mama a bitch or say yo brother ugly af did i?,0,1,0,1
5694,<user> smh iont understand it but fuck it more hoes for me <sym> <sym> ,0,1,0,1
5695,<user> fuck 'em if they can't take a joke! liberal pussies only think jokes about sarah palin &amp; daughters are funny.,1,1,0,1
5696,<user> absolutely agree with that statement. it's just so amusing how angry it makes all these teabagger scumbags. that alone is worth it.,1,1,0,1
5697,<user> no not tonight you're gonna hoe tomorrow,0,1,0,1
5698,<user> <user> bitches <sym> ,1,1,0,1
5699,<user> happy birthday queer,1,1,0,0
5700,<user> colored contacts,0,0,1,2
5701,<user> lmaoooo i'm calling her a hoe and i'm mad? shutcho uglass up,0,1,0,1
5702,<user> sick bitch!!,0,1,0,1
5703,<user> if im trash ur trash since we baes now,0,0,1,2
5704,<user> alright bitch i hope someone deletes your life suck 30 dicks and get hit by 2 buses,0,1,0,1
5705,<user> nah i replied to you like i did to literally everyone else who called it trash... go and check if you don't believe me,0,1,1,2
5707,<user> oh no. they drafted that gay ass that come out on tv? well u welcome to redskins nation. no queers just a lot of niggers.,1,1,0,0
5708,<user> pats owner is a kike.,1,0,0,0
5709,<user> with pills that nig will last 4 years. like magic j .that nig should hav died years ago. y'all the first team to draft gay.,1,0,0,0
5710,<user> such a hoe,0,1,1,1
5711,<user> <user> <user> <user> yea spell check is a bitch... lets stay on topic,0,1,0,1
5712,<user> <user> lol that hasn't worked well for black folks in the past. they better bring a few crackers with um.,1,1,0,1
5713,<user> your 2. and 3. nigga them hoes suck wayans brothers are not funny at all jamie foxx should be number 2,1,1,0,0
5714,<user> el negro?,0,1,1,2
5715,<user> yeah way to block me fag your scared you go and hit girls how tough does that make you? tough enough to know i'd beat...,1,1,0,1
5716,<user> your a fucking queer faggot bitch,1,0,0,0
5717,<user> <user> <user> <user> bitch that's wtf i just said and its not christopher it's chris mf,0,1,0,1
5718,<user> are you a pig or are you a bird,0,0,1,2
5719,<user> just beat the pussy up,1,1,0,1
5720,<user> go to sleep bitch,0,1,0,1
5721,<user> lmao you wish bitch,0,1,0,1
5722,<user> just ate a wees brownie and is seeing random cats,0,1,1,2
5723,<user> lmao they know who the kitty master is !!!! don't hate bitch,0,1,0,1
5724,<user> lets just say hellen keller makes better brownies,0,0,1,2
5725,<user> <sym> <sym>  salute a bad bitch,0,1,0,1
5726,<user> <user> wtf you bitches seen this without me,0,1,0,1
5727,<user> cum thru bitch,0,1,0,1
5728,<user> fuck off bitch,1,1,0,1
5729,<user> fuck you bitch,0,1,0,1
5730,<user> wanted me to let everyone know he downloaded the whole acoustic justin bieber album #fag,0,1,1,1
5731,<user> what's good pussy,0,1,0,1
5732,<user> you lying bitch,0,1,0,1
5733,<user> my niggah!!,0,1,0,1
5734,<user> ununnnn what plans? text me niggah!!,0,1,0,1
5735,<user> yassss bitch!!,0,1,0,1
5736,<user> spitted sprite on you? niggah with yo smart ass mouth you deserved it. &amp; well stfu! lol,0,1,0,1
5737,"<user> <user> both you boys need some pussy, damn.<sym> ",0,1,0,1
5738,<user> <user> <user> <user> still blaming bush? fucking retard,1,1,0,1
5739,"<user> <user> 
here ya go wetback, eat this.. <url>",1,1,0,0
5740,<user> that's lil nig <sym> ,1,1,0,1
5741,<user> <user> <user> you're a lying sack of shit because i know you love me #lesbian #jk #jkbridgeturstraight #fag,0,1,0,1
5742,<user> lol fag,0,1,0,1
5743,"<user> ur pal <user> threat2 ""apostate kufar""&gt;""i cld cut ur neck w/sword of islam &amp;watch u squeal like a bitch like daniel pearl""",1,1,0,0
5744,<user> you're the sole reason i come to that chipotle incase you didn't know. keep up the good work babe,0,0,1,2
5745,<user> cowboy killers.<sym> ,0,0,1,2
5746,<user> trash,0,0,1,2
5747,<user> nah it's just clowney being a bitch nigga,0,1,0,1
5748,"<user> lol it's a crew, not actual hoes",0,1,0,1
5749,<user> when you get famous i'm buyin yo art so me and my bitch can have dat shit all in da crib,0,1,0,1
5750,<user> <user> <user> kenna stfu? quit bein a bitch i was tellin robby to stop?! god.,0,1,0,1
5751,<user> <user> <user> don't be a bitch then?,0,1,0,1
5752,<user> <user> how original you faggots<sym> <sym> ,0,1,0,1
5753,<user> bitch don't reply<sym> ,0,1,0,1
5754,<user> yes!!! every guy is a bitch today...lol...smh,0,1,0,1
5755,<user> is gonna find himself a redneck girl one of these days <sym> <sym> ,0,1,1,1
5756,<user> <user> faggot,0,1,0,1
5757,"<user> today was talk like a pirate day, and absolutely nobody knew id been doing a charlie morton impersonation all day.",0,0,1,2
5758,<user> but that's what you call white trash with money!!!!!,1,0,1,0
5759,<user> no ud still be a fag if i was lolz,1,1,0,0
5760,<user> ur a fag,1,1,0,0
5761,<user> just more #teabagger babel. these are the same fucks that masturbated to <user> - they just hate it when gays r successful.,0,1,0,1
5762,"<user> they always put gingers in red, yellow, or leopard print.",0,1,1,1
5763,"<user> omg ur finally losing ur patience. ""cause ur a hoe!"" i love it. <sym> <sym>  can't stop laughing.",0,1,1,1
5764,<user> no steak here either. no hurry on brownies. just that picture u posted made me all but drool on my phone. :),0,0,1,2
5765,<user> that's white woman pussy,0,1,0,1
5766,<user> positive thoughts nig nog <sym> ,0,1,0,1
5767,<user> lmao dog just type them out and let them faggots try to decipher it.,1,1,0,1
5768,"<user> oh state, just enjoy your trailer trash and your sub par sports.",1,0,1,2
5771,<user> please be a little depressed bitch the entire time,0,1,0,1
5772,<user> them hoes look good,0,1,0,1
5773,<user> <user> i haven't seen that hoe,0,1,0,1
5774,<user> yea tj in this hoe dunking everything tk hitting shots and juelz handling the bitch,0,1,0,1
5775,<user> geminis rule hoe. <sym> ,0,1,1,1
5776,<user> <user> atf is in charge of prosecuting cases and the #teabagger republicans won't confirm a director to lead the agency.,0,1,1,1
5777,<user> since <user> will be a hoser... hi.,0,1,1,2
5778,<user> hope she's larger than a bird.,0,1,1,2
5779,<user> bitch don't kill my vibe,0,1,0,1
5780,<user> yeah cum itch my slit baby cakes,0,1,0,1
5781,<user> you're a fucking nigger,1,1,0,0
5782,<user> hbic....... head bitch in charge. lol,0,1,0,1
5783,<user> like the new avi. my twitter is retarded and shows you in the cubs hat but when i stalk your profile it show the new one,1,1,0,0
5784,<user> you're a bitch ihy,0,1,0,1
5785,<user> <user> cookies sound wonderful.,0,0,1,2
5786,"<user> this is why i follow and love you, bill. i may bitch at you, but i'll never quit you.",0,1,0,1
5787,<user> how long after the name change will al memorabilia w/redskins name be deemed racist and therby illegal?,0,0,1,2
5788,<user> lol to get the yellow bleach stain out use a baking soda hydrogen peroxide paste on the stain and throw in the washer,0,0,1,2
5789,<user> i'm coming for you bitch boy!!! <url>,0,1,0,1
5790,<user> in your dreams little leprechaun hemroid,0,1,1,1
5791,<user> you mean trash.,0,1,1,2
5792,<user> bitches naked**,0,1,0,1
5793,<user> we are being overrun by mongrels because zog or the jews that run our countries want the white man to perish.,1,1,0,0
5794,<user> <user> lmaooooo epic bird wins.,0,0,1,2
5795,"<user> <user> was about to fly to portugal &amp; open a can of whoopass since they started to zoom out during ""still run this bitch""",0,1,0,1
5796,<user> wow what a faggot,1,1,0,1
5797,<user> <sym>  nah bitch u addicted to spazzin fasho fuc molly tht shit happend 1 time and lean scarce so stfu hoe ass go spazz on sum thot,0,1,0,1
5798,<user> <sym> <sym> <sym> <sym>  since day 1 u remember tha bitches in alabama lmfaoo #big,0,1,0,1
5799,<user> <sym> <sym> <sym> <sym> <sym>  how u kno im talkin bout you bitch lmfao,1,1,0,1
5800,<user> haha bitch ima draw a webb in bullets round yo fuggin forehead #beamthat bitch i know where you reside,1,1,0,0
5801,<user> nah she said you a fag,1,1,0,0
5802,<user> u smokin that 87 bitch,0,1,0,1
5803,<user> yea cuh a bitch fuc donald sterling .. cuhz pimpin tho,0,1,0,1
5804,<user> dm me your number hoe,0,1,0,1
5805,"<user> it worked, bitch!!!",0,1,0,1
5806,<user> <user> <user> <user> this charlie z really does need mental help check this out <url>,0,0,1,2
5807,<user> danny will be in deep deep water at 147 too many badass sons of bitches up there,0,1,0,1
5808,<user> nobody is ever gonna take this ass clown serious again what a lil bitch,0,1,0,1
5809,<user> don't say shit like that lil nig .. or i'll give you a <sym>  stamp,0,1,0,1
5810,"<user> the only boards i still have from them are just the tie dye ones, monkey edition, black and silver , and the newest ones",0,0,1,2
5811,<user> them aint the bitches im talkin bout <sym> <sym> <sym>  aint no jungle fever over there lol,0,1,0,1
5812,<user> bitch nigga dont get all but hurt,0,1,0,1
5813,<user> : ayee ayee it's my snow niqqa &amp;&amp; it's for my bitches to slide to my crib,0,1,0,1
5814,<user> : i got them bitches snowboarding to me <sym> <sym> <sym> <sym> <sym> <sym> ,0,1,0,1
5815,<user> : ahah chill my bitch look better <sym> <sym> <sym> <sym> <sym> ,0,1,0,1
5816,<user> <user> sorry dyslexia is a bitch,0,1,0,1
5817,<user> oh... my phone is some trash! but you knew that!,0,0,1,2
5818,<user> i <sym>  you bitch,0,1,0,1
5819,<user> god doesn't send retards to hell,0,1,0,1
5820,<user> pussy,0,1,0,1
5821,<user> you a drunk bitch,0,1,0,1
5822,<user> took uber yesterday. advertised as 20% &lt; ny taxis but was actually a yellow taxi at same price. #uber,0,0,1,2
5823,<user> bout time bitch,0,1,0,1
5824,<user> not that it matters but im proud of ur little ass! im n old southern bitch. hang n there baby!,0,1,0,1
5825,<user> <sym>  i'm a wexican,0,0,1,2
5826,<user> don't blame me hoe.... i'm innocent <sym> ,0,1,0,1
5827,"<user> a music suggestion is ""lil spook""",0,0,1,2
5828,<user> yo bitch stay lookin like a clown,0,1,0,1
5829,<user> <user> people gotta bitch about something.,0,1,0,1
5830,"<user> <user> <user> <user> all of yall stfu, your all pussies and won't do shit",0,1,0,1
5831,<user> thirsty hoes <sym> ,0,1,0,1
5832,<user> this nigga <sym> <sym> .. know damn well you a coon,1,1,0,0
5833,<user> dyke ron<sym> <sym> <sym> ,1,1,0,1
5834,<user> the dude took off running like a bitch!,0,1,0,1
5835,"<user> <user> ""..the nig..""? ok, you're the big time shit talker on twitter no name, no face, no info",1,1,0,1
5836,<user> i heard green tea makes you lose weight.... and imma coon so that explains the watermelon,0,0,1,2
5837,<user> just facetime doms bitch ass,0,1,0,1
5838,<user> <user> bumcia is trash smfh i would've thought he would have gone after khan but what you said makes sense,0,0,1,2
5839,<user> i'm guessing so. the players are talking trash.,0,1,1,2
5840,<user> fuck yes we are <sym>  triple xp nigguh,1,1,0,1
5841,"<user> i'm not sure, i'm a broke nig <sym> ",0,1,0,1
5842,<user> we're laying rock around our lake. you're welcome to join a redneck workout. #muscles <sym> <sym> ,0,1,1,2
5843,"<user> cause you're a damn border bunny, you forget already?",1,1,0,1
5844,<user> might havti give you a visit. this cunt isn't going to have a family when im done.,0,1,0,1
5845,<user> <user> <user> it ain't retarded. he's my cousin. lmao.,0,1,0,1
5846,<user> <user> she spelled faggots with an e you're so cool lol,1,1,0,0
5847,<user> <user> <user> bitch shut the fuck and follow what u say nigga,0,1,0,1
5848,<user> <user> are u fucking still talking bitch i wanna see that i don't give a fuck about your ugly ass girlfriend son,0,1,0,1
5849,<user> <user> bitch and the fuck u wanna do about then nigga stfu talking and do something,1,1,0,1
5852,<user> that's a cute and fuzzy one...hehehe ;),0,0,1,2
5853,"<user> 02' charcoal 7s are pre-owned, no sole wear or scuffs size 10.5, cherry 12's ds size 11.5",0,0,1,2
5854,<user> trash,0,1,1,2
5855,<user> just texted yea queer bait <sym> ,1,1,0,1
5856,<user> those were bumblebees....,0,0,1,2
5857,<user> not if you're standing in btw the yellow lines,0,1,1,2
5858,<user> <user> <user> chill your dad gets more bitches at school than you do griff,0,1,0,1
5859,<user> do it pussy,0,1,0,1
5860,<user> i have small pussy size plugs,0,1,0,1
5861,<user> what is that monkey doing to those poor bottles?,0,0,1,2
5862,<user> <user> u guys are fags.,1,0,0,0
5863,<user> cause everyone just loves yo bitch ass rite? yea sure...,0,1,0,1
5864,<user> fuck the yankees,0,1,1,1
5865,<user> as u should that's jus a clutch ass spot bitch we in there for the turn up <sym> <sym> <sym> ,0,1,0,1
5866,<user> bitch yessssssss<sym> <sym>  omg i jus saw one of em yesterday i'm in disbelief i rode by like oh that's court bro now i'm lost,0,1,0,1
5867,"<user> black girls are so funny, why can't you talk literate? it's pathetic, dick riding die hard fan rofl, you disgust me, retard.",0,1,0,1
5868,<user> bye ugly hoe please do something about that nasty horse hair weave.,0,1,0,1
5869,<user> <user> real serious in ct! bunch of whiney cunts!,0,1,0,1
5871,<user> and they bitch cause police showed in force.they were the only thing preventing them from getting turned in2 road kill #i70shutdown,0,1,0,1
5872,<user> <user> crystal probably only person in world interested in my poor black hillbilly:jamaica::poor white hillbilly:wv idea,0,1,1,2
5873,<user> sounds like you bout to smack a hoe,0,1,0,1
5874,<user> <user> nigga you proud of 80% i was in that bitch 99.99% the .01% is from me going to get the weed out the car,0,1,0,1
5875,<user> <user> #icanhashtaghoweveriwant #bitch,0,1,1,1
5876,<user> i drive illegally retard,0,1,1,1
5877,"<user> i'm subtweeting my sister, hoe",1,1,0,1
5878,<user> cuz ur a bird bitch,0,1,0,1
5879,<user> fuck yo bitch ass then,0,1,0,1
5880,<user> that nigger music,1,1,0,0
5881,"<user> well you're a first class bitch. so go on with your bitch life, bitch",1,1,0,1
5882,<user> ok!!!!! stupid bitch,0,1,0,1
5883,<user> <user> racist <user> texas trash gwbush came to wh numb remember he and republicans stole the election,0,0,1,2
5884,<user> <user> racist@norahodonnell tx trash there's no comparison betwn pres obama n gwbush rt poll will show he's supported 100%,0,1,1,2
5885,<user> charlie please stop. from 1 ole fart 2 another...,0,0,1,2
5886,"<user> charlie, im an old lady. don't ever say ugly things about ur childrens mom.. i get it!!!, jus dont! big hug",0,0,1,2
5887,<user> <user> <user> i'll chug my tall can . but homegirl won't approve lol,0,0,1,2
5888,<user> hoe you are doing good too!,0,1,0,1
5889,<user> <user> bitch im waitin on my chicken nuggets,0,1,0,1
5890,<user> lol trash i would of kept it if she was cute,0,0,1,2
5891,<user> <sym> <sym> <sym>  you tried to bit my bottom lip off like it was a snack bitch,0,1,0,1
5892,<user> this bitch look like a fucking white trash trailer park queen lookin man bear pig. <url>,1,1,0,0
5893,<user> <user> not as bad as a former psyqo nigger that likes anime,0,1,0,1
5894,<user> wigg i love you bitch <sym> ,0,1,0,1
5895,"<user> <user> camels, ostriches and zebras! see you at the races! #vccamelraces",0,0,1,2
5896,<user> pussy?,0,1,0,1
5897,<user> i want it! i love her gooks! she is awesome where did you get it?,0,0,1,2
5898,"<user> <user> if by ""amusing"" you mean ""makes you cry like a bitch,"" then yeah, i'd agree.",0,1,1,1
5899,<user> i agree the fat bitches the only girls left not gettin passed around,0,1,0,1
5900,<user> they be tryna b on the low but one day these bitches gonna realize some niggas talk more then them l<sym> ,1,1,0,1
5901,<user> dude was a bitch nigga and took off running,1,1,0,1
5902,<user> haha i'm shocked barca got more yellow cards this time,0,0,1,2
5903,<user> <user> he was walking &amp; 3 little birds pitch by his doorstep. singing sweet songs of melodies pure &amp; true. saying ...,0,0,1,2
5904,"<user> like hov said ""we all ghetto b"" lol",0,1,0,1
5905,<user> <sym> <sym> <sym> <sym>  nigga doing the duggy on dem dead hoes lol,1,1,0,1
5906,<user> get some orange hoe,0,1,0,1
5907,<user> hmu negro,1,0,1,2
5908,"<user> cute, but i love her yellow raincoat the most, the contrast with that&amp;her hair looks so cute! :p i love her face in your icon!",0,0,1,2
5909,<user> bruh u such a pussy just talk,0,1,0,1
5910,<user> ho ho ho.,1,0,1,2
5911,<user> bitch,0,1,0,1
5912,<user> ill slap a hoe,0,1,0,1
5913,"<user> <user> america today, the rule of thumb is: when in doubt, blame ""whitey""",1,0,1,0
5914,<user> them peeps who bitches,0,1,0,1
5915,<user> let me guess they have yellow cake too? same crap different president,0,0,1,2
5916,<user> why do you bitch about everything?,0,1,0,1
5917,<user> @ me bitch. when and where?,0,1,0,1
5918,<user> you had to throw in the faggot word smh smh smh,1,1,0,0
5919,<user> ur the tool for posting a vid of a dude pacing! especially when u were too pussy to film his face!!!,0,1,0,1
5920,<user> you are a bitch!!!!,0,1,0,1
5921,"<user> - see, that's why ya ass never need to go out. tryna go ape shit.<sym> ",0,1,0,1
5922,<user> <user> yeah. great song. just watching the msg concert of 1990 yankee stadium gig.,0,0,1,2
5923,"<user> <user> why wld u wanna be a faggot, dude? that's faggot like",1,1,0,1
5924,<user> <user> i thought you had some fucked up birth defect that made your nips heart shaped lmao.,0,1,0,1
5925,<user> <user> it's not right but it's the rule. the nfl has a strike policy for drugs and josh gordon is retarded,0,1,1,1
5926,<user> bet... my trash ass self is just that petty,0,1,1,1
5927,<user> bet.... pay back is a bitch,0,1,1,1
5928,<user> yasss bitch yasss! i wonder if penny passed <sym> ,0,1,1,1
5929,<user> i'm tired bitch <sym> ,0,1,0,1
5930,"<user> youre racist against white people whigger. anti-racist is a codeword for anti-white.
anti-zionist is a codeword for antisemite.",1,1,0,0
5931,<user> that was for other bitches lol you cute tho wassup gimmi yo numba<sym>  imma natural too lmfaoo,0,1,0,1
5932,<user> hes behind the plate for the game tonight here in az. im looking to buy a red&amp;yellow balkamania shirt i can tear off there.,0,0,1,2
5933,<user> hold it you fucking bitch,0,1,0,1
5934,<user> <user> hell no! where is the pussy print page?,0,1,0,1
5935,<user> oh? he still talking to other bitches i bet. none of my biz tho,0,1,1,1
5936,<user> <user> <user> like what u bitches wantttt (dmx voice)<sym> <sym> <sym> ,0,1,0,1
5937,<user> bitch i back shit up fuck nigga,0,1,0,1
5938,<user> bitch am not gonna shut shit up feel free to join them,0,1,0,1
5939,<user> nigga you beat who ass bitch we've never even fought so u need to stop making up shit and bring yo ass with them,0,1,0,1
5940,"<user> wow i was like 12 or 13 fighting people in high school, then bitch unfollow me fuck nigga",0,1,0,1
5941,<user> bitch y u ain't come to school,1,1,0,1
5942,<user> sup my nigga.. cracker.. home boy.. what ya know that .. blah... forget it.. hey to ya.,1,1,0,1
5943,<user> haven't you ever heard the story of the birds and the bees,0,0,1,2
5944,<user> <sym> <sym> <sym> <sym> bad bitch w dreads alert,1,1,0,1
5945,<user> be sure to follow it up with a fabulous bitch face,0,1,0,1
5946,<user> girls that want to hold on to they hoes and act like they can't show off they boyfriends,0,1,0,1
5947,"<user> maybe baylee ann, tater pud, nurse fester, charlie chainsaws, &amp; mama rot should be their own team?! next time in punishermax!:-d",0,0,1,2
5948,<user> thank you based pee slit,1,0,1,2
5949,<user> ya pussy let's go wheelin,0,1,0,1
5950,<user> niggah this shit serious aint no one laughing,0,1,0,1
5951,"<user> <user> he's the ""fuck her right in the pussy"" guy",0,1,0,1
5952,"<user> i never did those games, but i was obsessed with angry birds. which is why it took me so long to do ccs. i was scared. lol",0,0,1,2
5953,<user> idk... it's trash though!,0,0,1,2
5954,<user> <user> far as i can tell coon tracks on the cab door window - tractor was parked by some trees away from home,0,0,1,2
5955,<user> fuck no she dont let nobody hit that pussy either i know it's firm,0,1,0,1
5956,<user> <user> <user> <user> given the rickety slant of that roof i'd say more like pizza shanty,0,0,1,2
5957,"<user> yess bitch cuts, colors, and curls ha self.",0,1,0,1
5958,<user> how could you say such a thing woman?! you have two functioning chest tables to hold your peanut butter and crackers!,0,0,1,2
5959,<user> my knee won't let me wander around much so i just make a few trips and look at the fat girls-- redneck porn--wal-mart,0,1,1,1
5961,<user> you to bitch!,0,1,0,1
5962,<user> <user> not over no twitter shit. plus youre a female. you letting a dumb sloppy body ignorant bitch speak for 13k people,0,1,0,1
5963,"<user> and they<sym> re retarded as fuck in general with their <sym> insults<sym> . hope they fall off with aw, but the csgo scene is growing so idk.",0,1,0,1
5964,<user> she going full retard right now smh,0,1,1,1
5965,<user> there was also no need for her to be a cunt and act like she's something special. it wasn't unprovoked.,0,1,0,1
5966,<user> hoe,1,1,0,1
5967,<user> some weird local ghetto school haha,0,1,1,2
5968,<user> don't be a pussy. also there is beer and free pizza here. i swear,0,1,0,1
5969,<user> because it's fucking retarded?,0,1,0,1
5970,<user> <user> ....so ur a fag?,0,1,0,1
5971,<user> pussy. it's science. donaire via rachel spelling error,0,1,1,2
5972,<user> forgot someone niglet,1,1,0,1
5973,<user> fuck you faggot,1,1,0,0
5974,"<user> you fat irish fucking cunt, i honestly hope you choke to death in a pool of your own jameson induced vomit",0,1,0,1
